Health and Survival;;;Political Empowerment;;;;;
Rank;Country;Score (0–1);Rank;Country;Score (0–1);;;
118;Sweden;0,963;118;Türkiye;0,106;;;
119;United Arab Emirates;0,963;119;Zambia;0,102;;;
120;Cyprus;0,963;120;Thailand;0,101;;;
121;Maldives;0,962;121;Mongolia;0,099;;;
122;Bhutan;0,962;122;Malaysia;0,098;;;
123;Liberia;0,962;123;Guatemala;0,094;;;
124;Netherlands;0,962;124;Jordan;0,093;;;
125;Bolivia (Plurinational State of);0,962;125;Bhutan;0,093;;;
126;Bangladesh;0,962;126;Belize;0,090;;;
127;Norway;0,961;127;Botswana;0,088;;;
128;Iceland;0,961;128;Sierra Leone;0,087;;;
129;Oman;0,961;129;Comoros;0,083;;;
130;Morocco;0,961;130;Hungary;0,079;;;
131;Malta;0,961;131;Saudi Arabia;0,077;;;
132;Pakistan;0,961;132;Gambia;0,073;;;
133;Albania;0,960;133;Qatar;0,071;;;
134;North Macedonia;0,960;134;Azerbaijan;0,071;;;
135;Mali;0,959;135;Algeria;0,065;;;
136;Bahrain;0,959;136;Brunei Darussalam;0,061;;;
137;Algeria;0,958;137;Kuwait;0,059;;;
138;Jordan;0,957;138;Japan;0,057;;;
139;Armenia;0,955;139;Fiji;0,052;;;
140;Brunei Darussalam;0,953;140;Oman;0,051;;;
141;Afghanistan;0,952;141;Myanmar;0,047;;;
142;India;0,950;142;Nigeria;0,041;;;
143;Qatar;0,947;143;Iran (Islamic Republic of);0,031;;;
144;Viet Nam;0,946;144;Lebanon;0,021;;;
145;China;0,937;145;Vanuatu;0,006;;;
146;Azerbaijan;0,936;146;Afghanistan;0,000;;;
